epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/Shoulder_R,train/confmaps/Elbow_R,train/confmaps/Shoulder_L,train/confmaps/Elbow_L,train/confmaps/Sternum,train/confmaps/Nose,train/confmaps/Neck,train/confmaps/Lip_upper,train/confmaps/Lip_lower,train/confmaps/Pellet,train/confmaps/Pellet_holder_lower,train/confmaps/Pellet_holder_upper,train/confmaps/Bar_L,train/confmaps/Eye_L,train/confmaps/Eye_R,train/confmaps/Bar_R,train/confmaps/wrist_mid_R,train/confmaps/wrist_pinky_R,train/confmaps/mid_pinky_R,train/confmaps/tip_pinky_R,train/confmaps/tip_index_R,train/confmaps/mid_index_R,train/confmaps/wrist_index_R,train/confmaps/wrist_mid_L,train/confmaps/wrist_pinky_L,train/confmaps/mid_pinky_L,train/confmaps/tip_pinky_L,train/confmaps/tip_index_L,train/confmaps/mid_index_L,train/confmaps/wrist_index_L,train/confmaps/tip_ring_R,train/confmaps/tip_middle_R,train/confmaps/tip_ring_L,train/confmaps/tip_middle_L,train/confmaps/diamond,train/confmaps/star
0,,0.001599529292434454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0.0003751309704966843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0004867718380410224,0.0002697560121305287,9.999999747378752e-05,13.877744674682617,0.08461833000183105,0.0005556814139708877,0.0005575456307269633,0.0007879451150074601,0.0007095586624927819,0.0006087041110731661,0.00017740811745170504,0.00039611372631043196,0.00033850606996566057,0.00037486618384718895,0.0003116701263934374,0.0011281482875347137,0.0014020761009305716,0.00015247048577293754,0.0002099918492604047,0.0002765955578070134,0.0002417890791548416,0.0003827327163890004,0.0003014671092387289,0.0002941700804512948,0.00036733265733346343,0.0004047765105497092,0.0004484470118768513,0.0003096035507041961,0.0002374056348344311,0.00019018030434381217,0.00013036065502092242,0.00013522841618396342,0.00012300843081902713,0.00016383669571951032,0.0002249321696581319,0.00043832079973071814,0.0004238855035509914,0.00011980150156887248,0.00016201150720007718,0.002031251322478056,0.0023663355968892574
2,0.00024191600095946342,0.00020203852909617126,9.999999747378752e-05,13.617713928222656,0.05043911933898926,0.0003862512530758977,0.00031120071071200073,0.0004539671936072409,0.00039421539986506104,0.00032766745425760746,0.00012511124077718705,0.0002094988594762981,0.00018620914488565177,0.00019032940326724201,0.00011844710388686508,0.0002975830575451255,0.0008388280984945595,9.25238782656379e-05,0.0001437218306818977,0.00019114313181489706,0.00015977831208147109,0.00024299416691064835,0.00017977561219595373,0.00016018960741348565,0.00020750141993630677,0.0001899445051094517,0.000298752129310742,0.00019394909031689167,0.00014272626140154898,0.00011286049266345799,8.516720845364034e-05,9.337437950307503e-05,9.088259685086086e-05,9.576949378242716e-05,0.00014862681564409286,0.0002026369038503617,0.00020144064910709858,8.598049316788092e-05,0.000136925169499591,0.00027200792101211846,0.0011489794123917818
3,0.000186127086635679,0.00014907449076417834,9.999999747378752e-05,13.434621810913086,0.028143882751464844,0.00032141609699465334,0.00024513204698450863,0.00037808073102496564,0.0003038572031073272,0.000283057481283322,0.00010920911154244095,0.0001764478365657851,0.00016138778300955892,0.0001576262729940936,9.36882643145509e-05,0.00024841330014169216,0.0006152882124297321,7.984677358763292e-05,0.00013197277439758182,0.0001660983107285574,0.0001338352303719148,0.00019486052042338997,0.00013829910312779248,0.00013306924665812403,0.000172349187778309,0.00018564141646493226,0.00027185474755242467,0.00015351966430898756,0.00012131113180657849,9.292468166677281e-05,7.529575668741018e-05,8.564774907426909e-05,8.369461284019053e-05,8.011855970835313e-05,0.0001199345788336359,0.00016206520376726985,0.0001663400325924158,7.981463568285108e-05,0.00012171401613159105,0.00016455342120025307,0.0005118137341924012
4,0.00015882603474892676,0.0001947107957676053,9.999999747378752e-05,13.457688331604004,0.02720189094543457,0.00029025491676293314,0.00021637397003360093,0.0003233591269236058,0.00023232285457197577,0.00024125169147737324,0.00010476434545125812,0.0001448089024052024,0.00014232828107196838,0.00013734133972320706,7.407805969705805e-05,0.0002016643265960738,0.0005373571766540408,7.250966154970229e-05,0.00012804732250515372,0.00015909955254755914,0.00011334713053656742,0.0001673505175858736,0.00011840202932944521,0.00011065608850913122,0.0001458738261135295,0.00015539028390776366,0.00024323198886122555,0.00013537511404138058,0.00011544670269358903,9.070787928067148e-05,6.96819624863565e-05,7.257046672748402e-05,7.449600525433198e-05,7.46716686990112e-05,0.0001076736516552046,0.00013303212472237647,0.00013577872596215457,6.569165998371318e-05,0.00011292457929812372,0.00013010852853767574,0.0003390344209037721
5,0.00014143000589683652,0.00015158548194449395,9.999999747378752e-05,13.561233520507812,0.05313396453857422,0.00026949442690238357,0.0002106084139086306,0.00029313156846910715,0.0002305539237568155,0.00021743075922131538,8.924349822336808e-05,0.00013919081538915634,0.00012272229650989175,0.00012484432954806834,6.163193756947294e-05,0.00020581331045832485,0.00043214819743297994,6.52215167065151e-05,9.890061483019963e-05,0.00013176928041502833,0.00010288212797604501,0.000152995518874377,0.00011074803478550166,0.00010174720227951184,0.00012922356836497784,0.00013756734551861882,0.00022636688663624227,0.00012046657502651215,9.996534208767116e-05,7.886529783718288e-05,5.871095709153451e-05,6.266044510994107e-05,6.518682494061068e-05,6.354400829877704e-05,9.949619561666623e-05,0.00012025007890770212,0.00012492702808231115,5.696600055671297e-05,9.943755867425352e-05,0.00010971644951496273,0.00027379445964470506
6,0.00012551064719446003,0.00014354242011904716,9.999999747378752e-05,13.67690658569336,0.0302584171295166,0.00023708843218628317,0.0001856734452303499,0.00025604950496926904,0.00019373367831576616,0.0001839042524807155,8.51222503115423e-05,0.00013117492198944092,0.0001108017677324824,0.00010553748143138364,5.6672277423786e-05,0.00018045016622636467,0.00037495617289096117,6.094625859986991e-05,9.068896906683221e-05,0.00011822614033007994,8.83830725797452e-05,0.0001345211494481191,9.291547030443326e-05,8.657333819428459e-05,0.00010602181282592937,0.0001334907574346289,0.00022265812731347978,0.00010895977902691811,9.09762384253554e-05,7.200285472208634e-05,5.406747368397191e-05,5.639267328660935e-05,5.799206337542273e-05,6.105431384639814e-05,8.502301352564245e-05,0.0001007136597763747,9.895799303194508e-05,5.1830043958034366e-05,9.65448998613283e-05,0.00010183968697674572,0.0002397804200882092
7,0.00011565125168999657,0.0001618131500435993,9.999999747378752e-05,13.593038558959961,0.05189323425292969,0.00021074325195513666,0.00015150524268392473,0.00022081240604165941,0.00016900412447284907,0.00016985512047540396,7.956665649544448e-05,0.0001056590917869471,9.4660630566068e-05,9.471239900449291e-05,5.618748036795296e-05,0.00016564950055908412,0.0003442845481913537,5.484525172505528e-05,8.3855316916015e-05,0.00010962092346744612,8.327721297973767e-05,0.00012337608495727181,9.02899046195671e-05,8.268659439636394e-05,0.00010196883522439748,0.00012709267321042717,0.00021215046581346542,0.00010237737296847627,9.334643982583657e-05,7.423164061037824e-05,5.528549445443787e-05,5.4023214033804834e-05,5.797832636744715e-05,5.8340770920040086e-05,8.765437814872712e-05,9.797498933039606e-05,9.796291851671413e-05,5.1014547352679074e-05,9.675171895651147e-05,9.426099131815135e-05,0.00021312643366400152
8,0.00010445501538924873,0.00012381553824525326,9.999999747378752e-05,13.610555648803711,0.028974294662475586,0.00020233365648891777,0.00013351069355849177,0.00021453469526022673,0.0001484503736719489,0.00015611584240105003,7.065570389386266e-05,0.00010395323624834418,8.957211684901267e-05,8.790707215666771e-05,4.903741864836775e-05,0.00014744553482159972,0.00028696536901406944,5.0279515562579036e-05,7.796637510182336e-05,0.00010360455053159967,7.901991921244189e-05,0.00010317343549104407,7.410879334202036e-05,6.993634451646358e-05,9.190971468342468e-05,0.00011796570470323786,0.0002041639236267656,8.45541653688997e-05,7.472637662431225e-05,5.8974954299628735e-05,4.464927042135969e-05,4.626302688848227e-05,5.51012963114772e-05,5.04745876241941e-05,6.925148773007095e-05,8.800216892268509e-05,8.871324826031923e-05,4.4123531552031636e-05,9.231961303157732e-05,8.874185004970059e-05,0.0001861841301433742
